Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,09/03/2019,"FRONTPOINT SECUR RECEIVABLE                 PPD ID: 1260202317",-38.09,ACH_DEBIT,13662.89,,
DEBIT,09/03/2019,"Payment to Chase card ending in 7983 09/03",-535.22,ACCT_XFER,13700.98,,
DEBIT,09/03/2019,"Payment to Chase card ending in 3407 09/03",-2921.46,ACCT_XFER,14236.20,,
DEBIT,09/03/2019,"ATM WITHDRAWAL                       005373  08/311180 2ND",-500.00,ATM,17157.66,,
CREDIT,09/03/2019,"QuickPay with Zelle payment from MURTAZA A KARIMJEE 8597834615",500.00,QUICKPAY_CREDIT,17657.66,,
CREDIT,09/03/2019,"QuickPay with Zelle payment from KEVIN THULL 8488825653",1000.00,QUICKPAY_CREDIT,17157.66,,
CREDIT,09/03/2019,"QuickPay with Zelle payment from ANDREA R SOPER 8488891992",1000.00,QUICKPAY_CREDIT,16157.66,,
CREDIT,08/30/2019,"Bloomberg LP     PAYROLL                    PPD ID: 1133417984",4682.85,ACH_CREDIT,15157.66,,
DEBIT,08/27/2019,"M1 FINANCE (MOFI ACH        20190826001834  WEB ID: 2561673990",-100.00,ACH_DEBIT,10474.81,,
DEBIT,08/27/2019,"VENMO 855-812-4430 NY                        08/26",-50.00,DEBIT_CARD,10574.81,,
DEBIT,08/26/2019,"APL*ITUNES.COM/BILL 866-712-7753 CA          08/25",-9.99,DEBIT_CARD,10624.81,,
DEBIT,08/26/2019,"ATM WITHDRAWAL                       007202  08/261 UNITED",-100.00,ATM,10634.80,,
DEBIT,08/26/2019,"QuickPay with Zelle payment to Tatiana JPM263561865",-30.00,CHASE_TO_PARTNERFI,10734.80,,
DEBIT,08/23/2019,"TIME WARNER CABL CABLE PAY  0014326239  SPA WEB ID: C815015000",-65.99,ACH_DEBIT,10764.80,,
DEBIT,08/20/2019,"M1 FINANCE (MOFI ACH        20190819003519  WEB ID: 2561673990",-100.00,ACH_DEBIT,10830.79,,
DEBIT,08/19/2019,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,10930.79,,
DEBIT,08/19/2019,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-9.99,ACH_DEBIT,10933.29,,
DEBIT,08/19/2019,"CON ED OF NY     INTELL CK                  PPD ID: 2462467002",-143.80,ACH_DEBIT,10943.28,,
DEBIT,08/19/2019,"NON-CHASE ATM WITHDRAW               351357  08/1733 17 36T",-81.75,ATM,11087.08,,
DEBIT,08/15/2019,"MORTGAGE SERV CT MTG PAYMT                  PPD ID: 4222195996",-2134.16,ACH_DEBIT,11168.83,,
CREDIT,08/15/2019,"Bloomberg LP     PAYROLL                    PPD ID: 1133417984",4406.95,ACH_CREDIT,13302.99,,
DEBIT,08/13/2019,"M1 FINANCE (MOFI ACH        20190812003529  WEB ID: 2561673990",-100.00,ACH_DEBIT,8896.04,,
DEBIT,08/09/2019,"9640 AMC ONLINE 888-440-4262 KS              08/09",-19.95,DEBIT_CARD,8996.04,,
DEBIT,08/09/2019,"9640 AMC ONLINE 888-440-4262 KS              08/09",-16.49,DEBIT_CARD,9015.99,,
DEBIT,08/06/2019,"M1 FINANCE (MOFI ACH        20190805003786  WEB ID: 2561673990",-100.00,ACH_DEBIT,9032.48,,
DEBIT,08/06/2019,"MOATE PLACE COND Assn Dues  16632779        WEB ID: 8887344567",-299.55,ACH_DEBIT,9132.48,,
DEBIT,08/05/2019,"CRICKET WIRELESS 855-246-2461 FL             08/02",-55.00,DEBIT_CARD,9432.03,,
CHECK,08/05/2019,"CHECK 416  ",-1800.00,CHECK_PAID,9487.03,416,
DEBIT,08/02/2019,"FRONTPOINT SECUR RECEIVABLE                 PPD ID: 1260202317",-38.09,ACH_DEBIT,11287.03,,
DEBIT,08/02/2019,"VENMO* Visa Direct NY                        08/02",-116.00,DEBIT_CARD,11325.12,,
DEBIT,08/01/2019,"ATM WITHDRAWAL                       008548  08/011180 2ND",-1000.00,ATM,11441.12,,
CREDIT,08/01/2019,"QuickPay with Zelle payment from KEVIN THULL 8386177825",1000.00,QUICKPAY_CREDIT,12441.12,,
CREDIT,08/01/2019,"QuickPay with Zelle payment from ANDREA R SOPER 8386242259",1000.00,QUICKPAY_CREDIT,11441.12,,
CREDIT,08/01/2019,"ATM CHECK DEPOSIT 08/01 1180 2ND AVE NEW YORK NY",985.00,ATM_DEPOSIT,10441.12,,
DEBIT,07/31/2019,"LIBERTY MUTUAL   PAYMENT                    PPD ID: 9267721101",-30.75,ACH_DEBIT,9456.12,,
DEBIT,07/31/2019,"Payment to Chase card ending in 7983 07/31",-506.99,ACCT_XFER,9486.87,,
DEBIT,07/31/2019,"Payment to Chase card ending in 0666 07/31",-3281.88,ACCT_XFER,9993.86,,
CREDIT,07/31/2019,"Bloomberg LP     PAYROLL                    PPD ID: 1133417984",4270.38,ACH_CREDIT,13275.74,,
DEBIT,07/30/2019,"M1 FINANCE (MOFI ACH        20190729003869  WEB ID: 2561673990",-100.00,ACH_DEBIT,9005.36,,
DEBIT,07/30/2019,"VENMO 855-812-4430 NY                        07/29",-40.00,DEBIT_CARD,9105.36,,
DEBIT,07/29/2019,"VENMO* Visa Direct NY                        07/28",-90.00,DEBIT_CARD,9145.36,,
DEBIT,07/26/2019,"APL*ITUNES.COM/BILL 866-712-7753 CA          07/25",-9.99,DEBIT_CARD,9235.36,,
DEBIT,07/24/2019,"VENMO 855-812-4430 NY                        07/23",-60.00,DEBIT_CARD,9245.35,,
DEBIT,07/23/2019,"PAYPAL           INST XFER  EB              WEB ID: PAYPALSI77",-65.08,ACH_DEBIT,9305.35,,
DEBIT,07/23/2019,"TIME WARNER CABL CABLE PAY  0014326239  SPA WEB ID: C815015000",-65.99,ACH_DEBIT,9370.43,,
DEBIT,07/23/2019,"M1 FINANCE (MOFI ACH        20190722003204  WEB ID: 2561673990",-100.00,ACH_DEBIT,9436.42,,
CREDIT,07/23/2019,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",562.60,ACH_CREDIT,9536.42,,
DEBIT,07/19/2019,"CON ED OF NY     INTELL CK                  PPD ID: 2462467002",-100.63,ACH_DEBIT,8973.82,,
DEBIT,07/18/2019,"MOATE PLACE COND Assn Dues  16472188        WEB ID: 8887344567",-101.88,ACH_DEBIT,9074.45,,
CREDIT,07/17/2019,"PAYPAL           TRANSFER                   PPD ID: PAYPALSDW1",572.30,ACH_CREDIT,9176.33,,
CHECK,07/16/2019,"CHECK 377  ",-24.00,CHECK_PAID,8604.03,377,
DEBIT,07/16/2019,"M1 FINANCE (MOFI ACH        20190715011070  WEB ID: 2561673990",-100.00,ACH_DEBIT,8628.03,,
DEBIT,07/15/2019,"MORTGAGE SERV CT MTG PAYMT                  PPD ID: 4222195996",-2134.16,ACH_DEBIT,8728.03,,
DEBIT,07/15/2019,"VENMO* Visa Direct NY                        07/14",-300.00,DEBIT_CARD,10862.19,,
DEBIT,07/15/2019,"ATM WITHDRAWAL                       009362  07/13238 EIGHT",-100.00,ATM,11162.19,,
CREDIT,07/15/2019,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",436.50,ACH_CREDIT,11262.19,,
CREDIT,07/15/2019,"Bloomberg LP     PAYROLL                    PPD ID: 1133417984",3769.30,ACH_CREDIT,10825.69,,
DEBIT,07/12/2019,"VENMO* Visa Direct NY                        07/12",-80.00,DEBIT_CARD,7056.39,,
CHECK,07/10/2019,"CHECK 415  ",-1800.00,CHECK_PAID,7136.39,415,
CREDIT,07/10/2019,"VENMO            CASHOUT                    PPD ID: 5264681992",57.00,ACH_CREDIT,8936.39,,
DEBIT,07/09/2019,"9640 AMC ONLINE 888-440-4262 KS              07/09",-19.95,DEBIT_CARD,8879.39,,
DEBIT,07/09/2019,"M1 FINANCE (MOFI ACH        20190708006623  WEB ID: 2561673990",-100.00,ACH_DEBIT,8899.34,,
DEBIT,07/09/2019,"MOATE PLACE COND Assn Dues  16395552        WEB ID: 8887344567",-299.55,ACH_DEBIT,8999.34,,
CHECK,07/05/2019,"CHECK 496  ",-40.00,CHECK_PAID,9298.89,496,
CHECK,07/05/2019,"CHECK 497  ",-70.00,CHECK_PAID,9338.89,497,
DEBIT,07/05/2019,"ATM WITHDRAWAL                       005110  07/059059 SUTP",-200.00,ATM,9408.89,,
DEBIT,07/05/2019,"VENMO* Visa Direct NY                        07/05",-78.00,DEBIT_CARD,9608.89,,
DEBIT,07/03/2019,"MOATE PLACE COND Assn Dues  16339703        WEB ID: 8887344567",-25.00,ACH_DEBIT,9686.89,,
DEBIT,07/03/2019,"LIBERTY MUTUAL   PAYMENT                    PPD ID: 9267721101",-30.75,ACH_DEBIT,9711.89,,
CREDIT,07/03/2019,"SCHWAB BROKERAGE MONEYLINK                  PPD ID: 9005586224",34.69,ACH_CREDIT,9742.64,,
DEBIT,07/02/2019,"FRONTPOINT SECUR RECEIVABLE                 PPD ID: 1260202317",-38.09,ACH_DEBIT,9707.95,,
DEBIT,07/02/2019,"M1 FINANCE (MOFI ACH        20190701013580  WEB ID: 2561673990",-100.00,ACH_DEBIT,9746.04,,
DEBIT,07/02/2019,"Payment to Chase card ending in 7983 07/02",-1177.96,ACCT_XFER,9846.04,,
DEBIT,07/02/2019,"Payment to Chase card ending in 0666 07/02",-2938.54,ACCT_XFER,11024.00,,
CREDIT,07/02/2019,"VENMO            CASHOUT                    PPD ID: 5264681992",45.00,ACH_CREDIT,13962.54,,
DEBIT,07/01/2019,"PAYPAL           INST XFER  EB              WEB ID: PAYPALSI77",-38.07,ACH_DEBIT,13917.54,,
DEBIT,07/01/2019,"QuickPay with Zelle payment to Jill Reninger 8389048775",-24.00,QUICKPAY_DEBIT,13955.61,,
DEBIT,07/01/2019,"VENMO 855-812-4430 NY                        06/29",-45.00,DEBIT_CARD,13979.61,,
CREDIT,07/01/2019,"QuickPay with Zelle payment from ANDREA R SOPER 8287930082",1000.00,QUICKPAY_CREDIT,14024.61,,
CREDIT,07/01/2019,"QuickPay with Zelle payment from KEVIN THULL 8287849901",1000.00,QUICKPAY_CREDIT,13024.61,,
CREDIT,06/28/2019,"Bloomberg LP     PAYROLL                    PPD ID: 1133417984",3388.00,ACH_CREDIT,12024.61,,
DEBIT,06/26/2019,"APL*ITUNES.COM/BILL 866-712-7753 CA          06/25",-9.99,DEBIT_CARD,8636.61,,
CREDIT,06/26/2019,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",591.70,ACH_CREDIT,8646.60,,
DEBIT,06/25/2019,"M1 FINANCE (MOFI ACH        20190624004818  WEB ID: 2561673990",-100.00,ACH_DEBIT,8054.90,,
DEBIT,06/24/2019,"TIME WARNER CABL CABLE PAY  0014326239  SPA WEB ID: C815015000",-65.99,ACH_DEBIT,8154.90,,
DEBIT,06/24/2019,"MTA*METROCARD MACHINE NEW YORK NY    505102  06/24",-127.00,DEBIT_CARD,8220.89,,
DEBIT,06/19/2019,"CON ED OF NY     INTELL CK                  PPD ID: 2462467002",-67.93,ACH_DEBIT,8347.89,,
CHECK,06/19/2019,"CHECK 376  ",-455.00,CHECK_PAID,8415.82,376,
DEBIT,06/18/2019,"M1 FINANCE (MOFI ACH        20190617004163  WEB ID: 2561673990",-100.00,ACH_DEBIT,8870.82,,
DEBIT,06/18/2019,"MOATE PLACE COND Assn Dues  16179335        WEB ID: 8887344567",-299.55,ACH_DEBIT,8970.82,,
DEBIT,06/17/2019,"MORTGAGE SERV CT MTG PAYMT                  PPD ID: 4222195996",-2179.99,ACH_DEBIT,9270.37,,
CREDIT,06/14/2019,"Bloomberg LP     PAYROLL                    PPD ID: 1133417984",3450.65,ACH_CREDIT,11450.36,,
DEBIT,06/13/2019,"SCHWAB BANK      TRANSFER   000440028793840 WEB ID: 3615220001",-1000.00,ACH_DEBIT,7999.71,,
DEBIT,06/13/2019,"VENMO 855-812-4430 NY                        06/12",-25.00,DEBIT_CARD,8999.71,,
DEBIT,06/12/2019,"ATM WITHDRAWAL                       000500  06/12839 9TH A",-100.00,ATM,9024.71,,
DEBIT,06/11/2019,"CONSUMER FX INTERNATIONAL WIRE FEE",-50.00,FEE_TRANSACTION,9124.71,,
DEBIT,06/11/2019,"CONSUMER FX INTERNATIONAL WIRE FEE",-50.00,FEE_TRANSACTION,9174.71,,
DEBIT,06/11/2019,"M1 FINANCE (MOFI ACH        20190610060230  WEB ID: 2561673990",-100.00,ACH_DEBIT,9224.71,,
DEBIT,06/11/2019,"INTERNATIONAL WIRE DEBIT A/C: FOREIGN CUR BUS ACCT BK 1 COLUMBUS NEWARK DE 197132107 ORG: 00000000528960656 IEVGEN MELNYCHUK BEN:/IT68F0200804624000004784850 SICILY BY CAR SPA REF: RENTAL AGREEMENT # 110354754 TRAFFIC FINE/OCMT/EUR61,00/EXCH/0.8581/CN TR/50427875/CCT/JWQX05EC00AI TRN: 6279500162RE 06/11",-71.09,WIRE_OUTGOING,9324.71,,
DEBIT,06/11/2019,"INTERNATIONAL WIRE DEBIT A/C: FOREIGN CUR BUS ACCT BK 1 COLUMBUS NEWARK DE 197132107 ORG: 00000000528960656 IEVGEN MELNYCHUK BEN:/IT42W0760102800000023512502 CITTA METROPOLITANA DI FIRENZE REF: V/331905P/2018/OCMT/EUR253,53/EXCH/0.8581/CNTR/46858355/CCT/JWQXC7W600 AC TRN: 6761800162RE 06/11",-295.46,WIRE_OUTGOING,9395.80,,
DEBIT,06/10/2019,"9640 AMC ONLINE 888-440-4262 KS              06/09",-19.95,DEBIT_CARD,9691.26,,
CHECK,06/07/2019,"CHECK 414  ",-1800.00,CHECK_PAID,9711.21,414,
DEBIT,06/05/2019,"Payment to Chase card ending in 7983 06/05",-255.99,ACCT_XFER,11511.21,,
DEBIT,06/05/2019,"Payment to Chase card ending in 1491 06/05",-1588.39,ACCT_XFER,11767.20,,
DEBIT,06/04/2019,"M1 FINANCE (MOFI ACH        20190603004163  WEB ID: 2561673990",-100.00,ACH_DEBIT,13355.59,,
DEBIT,06/04/2019,"CITI BIKE NYC 855-245-3311 NY                06/03",-184.00,DEBIT_CARD,13455.59,,
DEBIT,06/04/2019,"CITI BIKE NYC 855-245-3311 NY                06/03",-5.44,DEBIT_CARD,13639.59,,
DEBIT,06/03/2019,"FRONTPOINT SECUR RECEIVABLE                 PPD ID: 1260202317",-38.09,ACH_DEBIT,13645.03,,
DEBIT,06/03/2019,"VENMO* Visa Direct NY                        06/01",-375.00,DEBIT_CARD,13683.12,,
CREDIT,06/03/2019,"QuickPay with Zelle payment from ANDREA R SOPER 8184178836",1000.00,QUICKPAY_CREDIT,14058.12,,
CREDIT,06/03/2019,"QuickPay with Zelle payment from KEVIN THULL 8184116000",1000.00,QUICKPAY_CREDIT,13058.12,,
DEBIT,05/31/2019,"LIBERTY MUTUAL   PAYMENT                    PPD ID: 9267721101",-30.75,ACH_DEBIT,12058.12,,
CREDIT,05/31/2019,"Bloomberg LP     PAYROLL                    PPD ID: 1133417984",3460.22,ACH_CREDIT,12088.87,,
DEBIT,05/30/2019,"MTA*METROCARD MACHINE NEW YORK NY    328957  05/30",-33.00,DEBIT_CARD,8628.65,,
DEBIT,05/29/2019,"M1 FINANCE (MOFI ACH        20190527006410  WEB ID: 2561673990",-100.00,ACH_DEBIT,8661.65,,
CREDIT,05/29/2019,"INTEREST PAYMENT",0.05,MISC_CREDIT,8761.65,,
DEBIT,05/28/2019,"APL*ITUNES.COM/BILL 866-712-7753 CA          05/25",-9.99,DEBIT_CARD,8761.60,,
DEBIT,05/28/2019,"APPLE CASH 877-233-8552 CA                   05/24",-625.00,DEBIT_CARD,8771.59,,
DEBIT,05/24/2019,"FID BKG SVC LLC  MONEYLINE                  PPD ID: 0368004600",-3025.00,ACH_DEBIT,9396.59,,
CREDIT,05/24/2019,"VENMO            CASHOUT                    PPD ID: 5264681992",383.00,ACH_CREDIT,12421.59,,
DEBIT,05/23/2019,"MTA*METROCARD MACHINE NEW YORK NY    563718  05/23",-33.00,DEBIT_CARD,12038.59,,
DEBIT,05/21/2019,"M1 FINANCE (MOFI ACH        20190520004152  WEB ID: 2561673990",-100.00,ACH_DEBIT,12071.59,,
DEBIT,05/20/2019,"CON ED OF NY     INTELL CK                  PPD ID: 2462467002",-65.79,ACH_DEBIT,12171.59,,
DEBIT,05/17/2019,"PLANET FIT       CLUB FEES                  PPD ID: 1710602737",-22.98,ACH_DEBIT,12237.38,,
DEBIT,05/17/2019,"TIME WARNER CABL CABLE PAY  0014326239  SPA WEB ID: C815015000",-65.99,ACH_DEBIT,12260.36,,
CHECK,05/16/2019,"CHECK 413  ",-1800.00,CHECK_PAID,12326.35,413,
DEBIT,05/15/2019,"MOATE PLACE COND Assn Dues  15930213        WEB ID: 8887344567",-283.20,ACH_DEBIT,14126.35,,
DEBIT,05/15/2019,"MORTGAGE SERV CT MTG PAYMT                  PPD ID: 4222195996",-2179.99,ACH_DEBIT,14409.55,,
CREDIT,05/15/2019,"Bloomberg LP     PAYROLL                    PPD ID: 1133417984",3450.65,ACH_CREDIT,16589.54,,
DEBIT,05/14/2019,"M1 FINANCE (MOFI ACH        20190513011482  WEB ID: 2561673990",-100.00,ACH_DEBIT,13138.89,,
DEBIT,05/14/2019,"Payment to Chase card ending in 7983 05/14",-315.85,ACCT_XFER,13238.89,,
DEBIT,05/14/2019,"Payment to Chase card ending in 1491 05/14",-1454.70,ACCT_XFER,13554.74,,
CREDIT,05/14/2019,"VENMO            CASHOUT                    PPD ID: 5264681992",49.00,ACH_CREDIT,15009.44,,
DEBIT,05/13/2019,"MONTHLY SERVICE FEE",-25.00,FEE_TRANSACTION,14960.44,,
CREDIT,05/13/2019,"INTEREST PAYMENT",0.11,MISC_CREDIT,14985.44,,
DEBIT,05/13/2019,"QuickPay with Zelle payment to Murtaza  8226101154",-25.00,QUICKPAY_DEBIT,14985.33,,
DEBIT,05/13/2019,"QuickPay with Zelle payment to Murtaza  8226070557",-609.00,QUICKPAY_DEBIT,15010.33,,
DEBIT,05/13/2019,"VENMO 855-812-4430 NY                        05/12",-38.00,DEBIT_CARD,15619.33,,
CREDIT,05/13/2019,"QuickPay with Zelle payment from ANDRII KLYSHEIKO 8221444954",150.00,QUICKPAY_CREDIT,15657.33,,
DEBIT,05/09/2019,"9640 AMC ONLINE 888-440-4262 KS              05/09",-19.95,DEBIT_CARD,15507.33,,
DEBIT,05/09/2019,"VENMO 855-812-4430 NY                        05/08",-47.00,DEBIT_CARD,15527.28,,
DEBIT,05/08/2019,"APPLE CASH 877-233-8552 CA                   05/07",-185.00,DEBIT_CARD,15574.28,,
DEBIT,05/08/2019,"VENMO* Visa Direct NY                        05/07",-383.00,DEBIT_CARD,15759.28,,
DEBIT,05/07/2019,"M1 FINANCE (MOFI ACH        20190506005594  WEB ID: 2561673990",-100.00,ACH_DEBIT,16142.28,,
DSLIP,05/03/2019,"REMOTE ONLINE DEPOSIT #          1",802.00,CHECK_DEPOSIT,16242.28,1,
DSLIP,05/03/2019,"REMOTE ONLINE DEPOSIT #          1",1466.00,CHECK_DEPOSIT,15440.28,1,
DEBIT,05/02/2019,"FRONTPOINT SECUR RECEIVABLE                 PPD ID: 1260202317",-38.09,ACH_DEBIT,13974.28,,
DEBIT,05/01/2019,"LIBERTY MUTUAL   PAYMENT                    PPD ID: 9267721101",-30.75,ACH_DEBIT,14012.37,,
CREDIT,05/01/2019,"QuickPay with Zelle payment from KEVIN THULL 8087067664",1000.00,QUICKPAY_CREDIT,14043.12,,
CREDIT,05/01/2019,"QuickPay with Zelle payment from ANDREA R SOPER 8087131462",1000.00,QUICKPAY_CREDIT,13043.12,,
DEBIT,04/30/2019,"M1 FINANCE (MOFI ACH        20190429003960  WEB ID: 2561673990",-100.00,ACH_DEBIT,12043.12,,
CREDIT,04/30/2019,"Bloomberg LP     PAYROLL                    PPD ID: 1133417984",3471.76,ACH_CREDIT,12143.12,,
DEBIT,04/26/2019,"APL*ITUNES.COM/BILL 866-712-7753 CA          04/25",-9.99,DEBIT_CARD,8671.36,,
DEBIT,04/26/2019,"FID BKG SVC LLC  MONEYLINE                  PPD ID: 0368004600",-1000.00,ACH_DEBIT,8681.35,,
DEBIT,04/23/2019,"M1 FINANCE (MOFI ACH        20190422003670  WEB ID: 2561673990",-100.00,ACH_DEBIT,9681.35,,
DEBIT,04/22/2019,"TAXI SVC 41-25 36TH S LONG IS CITY NY        04/19",-25.56,DEBIT_CARD,9781.35,,
DEBIT,04/19/2019,"CON ED OF NY     INTELL CK                  PPD ID: 2462467002",-61.87,ACH_DEBIT,9806.91,,
CHECK,04/19/2019,"CHECK 375  ",-200.00,CHECK_PAID,9868.78,375,
DEBIT,04/19/2019,"KEY FOOD 1620 LONG ISLAND C NY               04/18",-15.97,DEBIT_CARD,10068.78,,
DEBIT,04/19/2019,"NEW YORK ROLL'N KATSU NEW YORK NY            04/19",-14.15,DEBIT_CARD,10084.75,,
DEBIT,04/19/2019,"SQ *B&H New York NY                          04/18",-17.00,DEBIT_CARD,10098.90,,
DEBIT,04/19/2019,"CULINART 39333 UN VI NEW YORK CITY NY        04/18",-5.44,DEBIT_CARD,10115.90,,
DEBIT,04/18/2019,"SCHWAB BROKERAGE MONEYLINK  558622477295023 WEB ID: 9005586224",-6000.00,ACH_DEBIT,10121.34,,
DEBIT,04/18/2019,"Duane Reade STO 773 LE NEW YORK NY   501860  04/18",-4.99,DEBIT_CARD,16121.34,,
DEBIT,04/18/2019,"SQ *B&H New York NY                          04/17",-2.00,DEBIT_CARD,16126.33,,
DEBIT,04/18/2019,"SQ *B&H New York NY                          04/17",-15.00,DEBIT_CARD,16128.33,,
DEBIT,04/17/2019,"PLANET FIT       CLUB FEES                  PPD ID: 1710602737",-22.98,ACH_DEBIT,16143.33,,
DEBIT,04/17/2019,"TIME WARNER CABL CABLE PAY  0014326239  SPA WEB ID: C815015000",-65.99,ACH_DEBIT,16166.31,,
DEBIT,04/17/2019,"Payment to Chase card ending in 1491 04/17",-796.61,ACCT_XFER,16232.30,,
DEBIT,04/17/2019,"Payment to Chase card ending in 7983 04/17",-747.70,ACCT_XFER,17028.91,,
DEBIT,04/16/2019,"M1 FINANCE (MOFI ACH        20190415008390  WEB ID: 2561673990",-100.00,ACH_DEBIT,17776.61,,
DEBIT,04/16/2019,"OMG NEW YORK NY                              04/16",-54.98,DEBIT_CARD,17876.61,,
DEBIT,04/16/2019,"VENMO 855-812-4430 NY                        04/15",-10.00,DEBIT_CARD,17931.59,,
CREDIT,04/16/2019,"VENMO            CASHOUT                    PPD ID: 5264681992",35.00,ACH_CREDIT,17941.59,,
